timestamp,charleville_mall_total,charleville_mall_north,charleville_mall_south,clontarf_total,clontarf_west,clontarf_east,pebble_beach_total,pebble_beach_west,pebble_beach_east,drumcondra_inbound_total,drumcondra_inbound_west,drumcondra_inbound_east,drumcondra_outbound_total,drumcondra_outbound_east,drumcondra_outbound_west,griffith_clare_total,griffith_clare_south,griffith_clare_north,griffith_lane_total,griffith_lane_south,griffith_lane_north,grove_road_totem_total,grove_road_totem_out,grove_road_totem_in,north_strand_northbound,north_strand_southbound,richmond_inbound_total,richmond_inbound_south,richmond_inbound_north,richmond_outbound_total,richmond_outbound_north,richmond_outbound_south
2023-01-01 00:00:00,1.0,0.0,1.0,1.0,1.0,0.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,6.0,6.0,0.0,,2.0,0.0,2.0,8.0,0.0,8.0
2023-01-01 01:00:00,0.0,0.0,0.0,6.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,13.0,9.0,4.0,0.0,,0.0,0.0,0.0,6.0,0.0,6.0
2023-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,4.0,5.0,0.0,,3.0,0.0,3.0,9.0,0.0,9.0
2023-01-01 03:00:00,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,12.0,7.0,5.0,0.0,,4.0,1.0,3.0,8.0,0.0,8.0
2023-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,17.0,13.0,4.0,0.0,,4.0,0.0,4.0,4.0,0.0,4.0
2023-01-01 05:00:00,2.0,1.0,1.0,3.0,1.0,2.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,0.0,,3.0,0.0,3.0,9.0,0.0,9.0
2023-01-01 06:00:00,2.0,2.0,0.0,1.0,1.0,0.0,5.0,3.0,2.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,14.0,7.0,7.0,0.0,,7.0,0.0,7.0,3.0,0.0,3.0
2023-01-01 07:00:00,3.0,2.0,1.0,1.0,0.0,1.0,3.0,1.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,5.0,17.0,0.0,,2.0,0.0,2.0,4.0,0.0,4.0
2023-01-01 08:00:00,0.0,0.0,0.0,6.0,2.0,4.0,12.0,2.0,10.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,22.0,7.0,15.0,0.0,,7.0,0.0,7.0,8.0,1.0,7.0
2023-01-01 09:00:00,2.0,1.0,1.0,32.0,12.0,20.0,36.0,14.0,22.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,21.0,7.0,14.0,0.0,,16.0,0.0,16.0,7.0,0.0,7.0
2023-01-01 10:00:00,2.0,2.0,0.0,50.0,15.0,35.0,58.0,19.0,39.0,4.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,18.0,6.0,12.0,0.0,,11.0,0.0,11.0,12.0,0.0,12.0
2023-01-01 11:00:00,4.0,3.0,1.0,60.0,28.0,32.0,68.0,27.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,7.0,7.0,0.0,15.0,6.0,9.0,0.0,,18.0,0.0,18.0,10.0,0.0,10.0
2023-01-01 12:00:00,5.0,4.0,1.0,60.0,28.0,32.0,103.0,50.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,4.0,4.0,0.0,30.0,16.0,14.0,0.0,,24.0,0.0,24.0,19.0,0.0,19.0
2023-01-01 13:00:00,4.0,3.0,1.0,65.0,33.0,32.0,74.0,35.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,5.0,5.0,0.0,35.0,12.0,23.0,0.0,,21.0,0.0,21.0,21.0,0.0,21.0
2023-01-01 14:00:00,6.0,2.0,4.0,58.0,27.0,31.0,76.0,41.0,35.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,2.0,2.0,0.0,38.0,14.0,24.0,0.0,,24.0,0.0,24.0,16.0,0.0,16.0
2023-01-01 15:00:00,7.0,4.0,3.0,41.0,24.0,17.0,62.0,38.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0,42.0,18.0,24.0,0.0,,36.0,1.0,35.0,27.0,0.0,27.0
2023-01-01 16:00:00,9.0,3.0,6.0,37.0,25.0,12.0,35.0,18.0,17.0,2.0,2.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,9.0,9.0,0.0,46.0,24.0,22.0,0.0,,33.0,1.0,32.0,30.0,0.0,30.0
2023-01-01 17:00:00,4.0,3.0,1.0,12.0,8.0,4.0,22.0,12.0,10.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,4.0,0.0,50.0,26.0,24.0,0.0,,42.0,1.0,41.0,38.0,0.0,38.0
